Year,State/Territory,Season,Sunshine
2007,Australian Capital Territory,Spring,8.0
2007,Australian Capital Territory,Spring,8.0
2007,Australian Capital Territory,Spring,8.0
2007,Australian Capital Territory,Spring,8.0
2007,Australian Capital Territory,Spring,8.0
2007,Australian Capital Territory,Spring,8.0
2007,Australian Capital Territory,Spring,8.0
2007,Australian Capital Territory,Spring,8.0
2007,Australian Capital Territory,Summer,8.0
2007,Australian Capital Territory,Summer,8.0
2007,Australian Capital Territory,Summer,8.0
2007,Australian Capital Territory,Summer,8.0
2007,Australian Capital Territory,Summer,8.0
2007,Australian Capital Territory,Summer,8.0
2007,Australian Capital Territory,Summer,8.0
2007,Australian Capital Territory,Summer,8.0
2008,Australian Capital Territory,Autumn,8.0
2008,Australian Capital Territory,Autumn,8.0
2008,Australian Capital Territory,Autumn,8.0
2008,Australian Capital Territory,Autumn,8.0
2008,Australian Capital Territory,Autumn,8.0
2008,Australian Capital Territory,Autumn,8.0
2008,Australian Capital Territory,Autumn,8.0
2008,Australian Capital Territory,Autumn,8.0
2008,Australian Capital Territory,Spring,9.0
2008,Australian Capital Territory,Spring,9.0
2008,Australian Capital Territory,Spring,9.0
2008,Australian Capital Territory,Spring,9.0
2008,Australian Capital Territory,Spring,9.0
2008,Australian Capital Territory,Spring,9.0
2008,Australian Capital Territory,Spring,9.0
2008,Australian Capital Territory,Spring,9.0
2008,Australian Capital Territory,Spring,9.0
2008,Australian Capital Territory,Summer,9.0
2008,Australian Capital Territory,Summer,9.0
2008,Australian Capital Territory,Summer,9.0
2008,Australian Capital Territory,Summer,9.0
2008,Australian Capital Territory,Summer,9.0
2008,Australian Capital Territory,Summer,9.0
2008,Australian Capital Territory,Summer,9.0
2008,Australian Capital Territory,Summer,9.0
2008,Australian Capital Territory,Summer,9.0
2008,Australian Capital Territory,Winter,6.0
2008,Australian Capital Territory,Winter,6.0
2008,Australian Capital Territory,Winter,6.0
2008,Australian Capital Territory,Winter,6.0
2008,Australian Capital Territory,Winter,6.0
2008,Australian Capital Territory,Winter,6.0
2008,New South Wales,Autumn,8.0
2008,New South Wales,Autumn,8.0
2008,New South Wales,Autumn,8.0
2008,New South Wales,Autumn,8.0
2008,New South Wales,Autumn,8.0
2008,New South Wales,Autumn,8.0
2008,New South Wales,Autumn,8.0
2008,New South Wales,Autumn,8.0
2008,New South Wales,Spring,8.0
2008,New South Wales,Spring,8.0
2008,New South Wales,Spring,8.0
2008,New South Wales,Spring,8.0
2008,New South Wales,Spring,8.0
2008,New South Wales,Spring,8.0
2008,New South Wales,Spring,8.0
2008,New South Wales,Spring,8.0
2008,New South Wales,Summer,7.0
2008,New South Wales,Summer,7.0
2008,New South Wales,Summer,7.0
2008,New South Wales,Summer,7.0
2008,New South Wales,Summer,7.0
2008,New South Wales,Summer,7.0
2008,New South Wales,Summer,7.0
2008,New South Wales,Winter,6.0
2008,New South Wales,Winter,6.0
2008,New South Wales,Winter,6.0
2008,New South Wales,Winter,6.0
2008,New South Wales,Winter,6.0
2008,New South Wales,Winter,6.0
2008,Northern Territory,Spring,9.0
2008,Northern Territory,Spring,9.0
2008,Northern Territory,Spring,9.0
2008,Northern Territory,Spring,9.0
2008,Northern Territory,Spring,9.0
2008,Northern Territory,Spring,9.0
2008,Northern Territory,Spring,9.0
2008,Northern Territory,Spring,9.0
2008,Northern Territory,Spring,9.0
2008,Northern Territory,Summer,7.0
2008,Northern Territory,Summer,7.0
2008,Northern Territory,Summer,7.0
2008,Northern Territory,Summer,7.0
2008,Northern Territory,Summer,7.0
2008,Northern Territory,Summer,7.0
2008,Northern Territory,Summer,7.0
2008,Northern Territory,Winter,10.0
2008,Northern Territory,Winter,10.0
2008,Northern Territory,Winter,10.0
2008,Northern Territory,Winter,10.0
2008,Northern Territory,Winter,10.0
2008,Northern Territory,Winter,10.0
2008,Northern Territory,Winter,10.0
2008,Northern Territory,Winter,10.0
2008,Northern Territory,Winter,10.0
2008,Northern Territory,Winter,10.0
2008,Queensland,Spring,8.0
2008,Queensland,Spring,8.0
2008,Queensland,Spring,8.0
2008,Queensland,Spring,8.0
2008,Queensland,Spring,8.0
2008,Queensland,Spring,8.0
2008,Queensland,Spring,8.0
2008,Queensland,Spring,8.0
2008,Queensland,Summer,9.0
2008,Queensland,Summer,9.0
2008,Queensland,Summer,9.0
2008,Queensland,Summer,9.0
2008,Queensland,Summer,9.0
2008,Queensland,Summer,9.0
2008,Queensland,Summer,9.0
2008,Queensland,Summer,9.0
